10,1,32,38,47,32,20
42,31,20,1,16,45,9
23,8,8,25,16,46,18
43,43,39,18,28,26,40
32,13,25,16,24,18,25
36,9,41,38,43,25,40
31,16,11,48,49,5,16
32,10,28,33,37,41,12
33,41,49,15,3,5,49
23,12,45,7,17,43,12
36,15,20,15,16,23,6
33,21,33,40,33,1,40
47,9,3,32,36,13,43
2,7,8,13,47,33,24
1,10,6,24,5,17,5
37,2,38,37,27,22,32
44,30,17,3,21,28,39
44,39,33,37,31,23,42
13,21,9,9,30,5,10
46,15,19,22,48,36,18
33,17,1,27,45,43,15
32,2,25,32,1,26,45
18,17,13,26,2,19,8
18,47,8,31,33,46,5
43,30,32,39,27,38,20
21,21,40,29,29,48,27
22,9,11,44,1,45,49
34,43,8,23,18,12,3
30,25,12,21,24,0,15
44,32,8,7,13,22,49
36,38,46,38,15,4,36
29,12,49,17,11,9,17
21,26,24,39,35,46,16
18,16,33,4,48,31,48
15,33,12,2,41,37,15
8,18,42,3,29,37,5
31,1,41,5,48,15,15
1,38,37,46,48,22,15
26,33,39,41,34,3,48
5,32,45,18,18,9,40
34,0,46,14,23,49,39
49,18,14,2,0,15,10
22,20,7,34,41,37,15
12,44,41,20,41,11,34
41,8,13,4,7,45,42
22,49,38,14,39,5,34
30,14,29,41,28,28,8
33,48,42,39,1,29,36
45,47,8,14,3,34,28
8,35,15,37,7,40,40
58,61,81,66,88,94,83
88,71,95,82,57,86,89
65,51,88,55,92,54,74
99,98,53,71,70,70,66
94,66,76,89,67,81,74
70,61,68,52,61,70,99
84,68,74,84,51,51,73
64,97,54,61,89,58,67
53,96,93,66,88,52,64
90,54,58,77,58,84,92
72,93,59,56,82,94,73
53,65,90,52,69,52,95
79,52,71,53,76,96,52
65,52,68,65,85,87,63
98,79,55,62,87,59,60
68,76,93,56,84,79,73
67,97,62,83,81,76,74
91,96,88,98,52,56,92
71,53,52,50,56,99,74
93,99,66,59,71,62,78
81,78,90,56,55,69,66
92,66,59,72,99,87,73
80,57,89,78,77,73,63
68,99,57,88,80,81,84
92,52,96,73,57,68,76
60,55,59,94,66,63,66
92,70,62,85,87,94,70
63,78,89,75,53,50,83
76,90,63,92,52,68,69
82,95,66,58,71,66,54
67,83,53,96,74,76,91
61,57,70,85,83,67,95
98,54,74,89,78,50,59
69,61,92,75,87,62,62
70,88,93,72,76,98,66
54,96,98,61,87,65,61
95,64,94,76,76,83,96
95,57,82,93,78,69,80
60,65,99,83,50,98,83
93,71,91,73,53,86,78
77,86,80,72,62,92,62
61,53,82,90,81,65,54
70,82,96,90,59,77,94
69,81,64,94,51,63,50
67,65,90,91,65,91,85
91,93,94,50,65,90,82
98,95,88,97,83,76,57
